Grapheme	IPA	EXAMPLES	LANGUAGES	FREQUENCY	CODEPOINTS
³³	³³
³¹	³¹
¹¹	¹¹
⁵³	⁵³
⁵⁵	⁵⁵
ɔː	ɔː
tʂʰ	ʈʂʰ
^uːə$	uːə				
^ua$	ua				
^ai$	ai				
^ei$	ei				
$	NULL				
+	NULL				
+$	NULL				
-	NULL	ʔa-rɛŋ, ba-kʰy	Khoina, Khoitam, Rahung, Rupa, Jerigaon, Shergaon, Khispi, Duhumbi, Bulu, Kojo Rojo, Rawa, Chayangtajo, Lasumpatte, Saria, Dikhyang	407	U+002d
N	N/ɴ	ʃiN-rin, kətuNrin	Bulu	2	U+004e
N$	N/ɴ	ahjɛN, dɛN	Bulu, Lasumpatte, Chayangtajo	23	U+004e U+0024
Nw	N/ɴ w	haNwaiʔ	Bulu	1	U+004e U+0077
Nʃ	N/ɴ ʃ	haNʃin	Bulu	1	U+004e U+0283
^	NULL				
^+	NULL				
^a	a	amui, avije	Bulu, Kojo Rojo, Chayangtajo, Lasumpatte, Rawa, Saria, Bichom, Namphri, Singchung, Wangho, Kaspi	192	U+005e U+0061
^b	b	ba, ba-kʰy	Khispi, Duhumbi, Saria, Dikhyang, Rawa, Bichom, Rupa, Shergaon, Khoina, Kojo Rojo, Chayangtajo, Jerigaon, Lasumpatte, Rahung, Khoitam, Namphri, Bulu, Singchung, Wangho, Kaspi	107	U+005e U+0062
^d	d	dɛn, dijo	Khoina, Khispi, Duhumbi, Jerigaon, Singchung, Kaspi, Namphri, Dikhyang, Bichom, Rupa, Bulu, Kojo Rojo, Rawa, Chayangtajo, Wangho, Lasumpatte, Shergaon, Rahung, Khoitam, Saria	38	U+005e U+0064
^e	e	ekʰuk, eraŋ	Wangho, Singchung, Namphri, Bichom, Kaspi, Chayangtajo, Lasumpatte, Saria	88	U+005e U+0065
^eː	eː	eːkʰuk, eːɕau_	Dikhyang	2	U+005e U+0065 U+02d0
^f	f	fua, fəu	Namphri, Rawa, Bichom, Bulu, Kojo Rojo, Singchung, Wangho, Khoina, Kaspi, Dikhyang	13	U+005e U+0066
^g	g	gu, go	Khoina, Saria, Kojo Rojo, Rawa, Chayangtajo, Lasumpatte, Rupa, Kaspi, Bulu, Jerigaon, Shergaon, Khoitam, Rahung, Namphri, Khispi, Duhumbi, Singchung, Bichom, Dikhyang	47	U+005e U+0067
^h	h	hiŋ, haː	Kojo Rojo, Khispi, Duhumbi, Rawa, Kaspi, Bulu, Wangho, Dikhyang, Saria, Namphri, Jerigaon, Rahung, Chayangtajo, Singchung, Lasumpatte, Bichom, Shergaon, Rupa, Khoitam, Khoina	174	U+005e U+0068
^hw	w̥	hwa	Khispi, Duhumbi	2	U+005e U+0068 U+0077
^i	i	in, iu	Namphri, Singchung, Kaspi, Bulu, Kojo Rojo, Rawa, Bichom	11	U+005e U+0069
^iː$	iː	iː	Bulu, Kojo Rojo, Rawa, Chayangtajo, Lasumpatte, Saria	6	U+005e U+0069 U+02d0 U+0024
^iⁱ$	iⁱ/i	iⁱ	Wangho	1	U+005e U+0069 U+2071 U+0024
^j	j	jam, jɔ̃	Namphri, Khoina, Kaspi, Kojo Rojo, Duhumbi, Jerigaon, Wangho, Bichom, Rupa, Shergaon, Khoitam, Rahung, Dikhyang, Singchung, Chayangtajo, Khispi, Saria	32	U+005e U+006a
^k	k	kua, kəbɹaː	Chayangtajo, Lasumpatte, Saria, Rawa, Kojo Rojo, Bulu, Duhumbi, Khispi, Wangho, Rupa, Dikhyang	73	U+005e U+006b
^kʰ	kʰ	kʰoᵘ, kʰ-ruk̚	Khispi, Duhumbi, Shergaon, Singchung, Rupa, Kaspi, Namphri, Wangho, Bichom, Jerigaon, Rahung, Khoitam, Dikhyang, Bulu, Khoina	90	U+005e U+006b U+02b0
^l	l	lɛː, laⁱ	Singchung, Kaspi, Rawa, Jerigaon, Bichom, Namphri, Khoina, Rahung, Khoitam, Rupa, Shergaon, Saria, Kojo Rojo, Khispi, Duhumbi, Wangho, Dikhyang, Bulu, Chayangtajo, Lasumpatte	96	U+005e U+006c
^m	m	mijak, məriː	Kaspi, Namphri, Duhumbi, Bichom, Rahung, Dikhyang, Saria, Bulu, Singchung, Chayangtajo, Wangho, Khispi, Lasumpatte, Khoina, Rupa, Kojo Rojo, Rawa, Jerigaon, Shergaon, Khoitam	44	U+005e U+006d
^n	n	naŋ, nam-blu	Khoina, Khoitam, Jerigaon, Rupa, Khispi, Shergaon, Kaspi, Duhumbi, Rahung, Namphri, Rawa, Wangho, Bichom, Bulu, Kojo Rojo, Singchung, Chayangtajo, Lasumpatte, Dikhyang, Saria	108	U+005e U+006e
^o	o	oe, ovoᵘ	Singchung, Namphri	3	U+005e U+006f
^p	p	pədoː, pɹɛː	Chayangtajo, Lasumpatte, Saria, Rawa, Kojo Rojo, Namphri, Bulu, Duhumbi, Wangho, Rahung, Kaspi, Dikhyang	29	U+005e U+0070
^pɕ	p ɕ	pɕiŋ-ba_, pɕiŋ-ba	Khispi, Duhumbi	2	U+005e U+0070 U+0255
^pʰ	pʰ	pʰijaŋ, pʰ-tʰɛː	Rahung, Singchung, Bichom, Kaspi, Namphri, Wangho, Shergaon, Dikhyang, Bulu, Jerigaon, Rupa, Khoitam	26	U+005e U+0070 U+02b0
^r	r	rɔ, riŋ	Chayangtajo, Lasumpatte, Saria, Wangho, Dikhyang, Kojo Rojo, Bichom, Kaspi, Bulu, Rawa, Khoitam, Namphri, Singchung, Rahung, Shergaon, Jerigaon, Khoina, Rupa, Duhumbi	80	U+005e U+0072
^rᵘ	r ᵘ/w	rᵘaŋ	Bichom, Kaspi, Singchung, Namphri	4	U+005e U+0072 U+1d58
^s	s	su, spije	Jerigaon, Kaspi, Singchung, Rahung, Shergaon, Khoitam, Dikhyang, Wangho, Bichom, Rupa, Namphri, Bulu, Rawa, Saria, Kojo Rojo, Chayangtajo, Lasumpatte	62	U+005e U+0073
^ss	s s	s-sĩː_	Khoitam	1	U+005e U+0073 U+0073
^t	t	tua, tuŋ	Rawa, Saria, Bulu, Kojo Rojo, Chayangtajo, Lasumpatte, Namphri, Khispi, Wangho, Bichom, Rupa, Shergaon	32	U+005e U+0074
^tʰ	tʰ	tʰøː, tʰaː	Singchung, Bichom, Shergaon, Duhumbi, Khispi, Jerigaon, Rupa, Rahung, Khoitam, Kaspi, Khoina, Namphri	26	U+005e U+0074 U+02b0
^tʰw	tʰ w	tʰwa	Rupa	1	U+005e U+0074 U+02b0 U+0077
^u	u	uk, ua	Khispi, Duhumbi, Bichom, Namphri, Shergaon, Kaspi, Bulu, Jerigaon, Wangho, Rupa, Rahung, Khoitam, Khoina, Dikhyang	25	U+005e U+0075
^uː	uː	uːə	Dikhyang	1	U+005e U+0075 U+02d0
^uː$	uː	uː	Lasumpatte, Chayangtajo, Saria	3	U+005e U+0075 U+02d0 U+0024
^v	v	vəopʰa, vəwa	Bulu, Namphri, Wangho	4	U+005e U+0076
^w	w	wat, wa	Duhumbi, Khispi, Kojo Rojo, Wangho, Singchung, Dikhyang, Namphri, Bulu, Rawa, Chayangtajo, Jerigaon, Lasumpatte, Bichom, Rupa, Shergaon, Khoitam, Kaspi, Saria	29	U+005e U+0077
^x	x	xaː, xɛk	Khoina	2	U+005e U+0078
^z	z	zɛk, zɛː	Rupa, Jerigaon, Shergaon, Khoitam, Rahung, Bulu, Kojo Rojo, Rawa, Khispi, Duhumbi, Saria	17	U+005e U+007a
^ĩ	ĩ	ĩt	Dikhyang	1	U+005e U+0129
^ī	ī/i	īt	Wangho	1	U+005e U+012b
^ŋ	ŋ	ŋa	Khispi, Duhumbi	2	U+005e U+014b
^ũ	ũ	ũə	Dikhyang	1	U+005e U+0169
^ū	ū/u	ūa	Kaspi, Singchung, Wangho	3	U+005e U+016b
^ɔ	ɔ	ɔi	Dikhyang	1	U+005e U+0254
