ID,Name,Concepticon_ID,Concepticon_Gloss
i-1209,1SG,1209,I
thou-1215,2SG,1215,THOU
heorshe-2642,3SG,2642,HE OR SHE
ant-587,ant,587,ANT
armorhand-212,arm/hand,212,ARM OR HAND
ash-646,ash,646,ASH
big-1202,big,1202,BIG
bird-937,bird,937,BIRD
bite-1403,bite,1403,BITE
bitter-887,bitter,887,BITTER
black-163,black,163,BLACK
blood-946,blood,946,BLOOD
bone-1394,bone,1394,BONE
breast-1402,breast,1402,BREAST
burning-1428,to burn (it.),1428,BURNING
carryonback-465,to carry (on back),465,CARRY ON BACK
cloud-1489,cloud,1489,CLOUD
cry-1839,to cry/weep,1839,CRY
die-1494,to die,1494,DIE
doormake-2575,to do/make,2575,DO OR MAKE
dog-2009,dog,2009,DOG
drink-1401,drink,1401,DRINK
dry-1398,dry,1398,DRY
ear-1247,ear,1247,EAR
eat-1336,eat,1336,EAT
egg-744,egg,744,EGG
eye-1248,eye,1248,EYE
far-1406,far,1406,FAR
fate-1688,fat,1688,FATE
fingernail-1258,fingernail,1258,FINGERNAIL
fire-221,fire,221,FIRE
fish-227,fish,227,FISH
fleshormeat-2615,flesh/meat,2615,FLESH OR MEAT
flymovethroughair-1441,to fly,1441,FLY (MOVE THROUGH AIR)
full-1429,full,1429,FULL
give-1447,to give,1447,GIVE
go-695,to go,695,GO
good-1035,good,1035,GOOD
hairhead-2648,hair on head,2648,HAIR (HEAD)
hard-1884,hard,1884,HARD
head-1256,head,1256,HEAD
hear-1408,to hear,1408,HEAR
heavy-1210,heavy,1210,HEAVY
hide-2486,to hide,2486,HIDE
kill-1417,to kill,1417,KILL
thorn-124,horn,124,THORN
house-1252,house,1252,HOUSE
in-1460,in,1460,IN
knee-1371,knee,1371,KNEE
knowsomething-1410,to know,1410,KNOW (SOMETHING)
laugh-1355,to laugh,1355,LAUGH
leaf-628,leaf,628,LEAF
footorleg-2098,leg/foot,2098,FOOT OR LEG
liver-1224,liver,1224,LIVER
long-1203,long,1203,LONG
louse-1392,louse,1392,LOUSE
moon-1313,moon,1313,MOON
mouth-674,mouth,674,MOUTH
name-1405,name,1405,NAME
navel-1838,navel,1838,NAVEL
neck-1333,neck,1333,NECK
new-1231,new,1231,NEW
nose-1221,nose,1221,NOSE
not-1240,not,1240,NOT
oldused-2113,old of things,2113,OLD (USED)
one-1493,one,1493,ONE
path-2252,path,2252,PATH
grain-605,rain,605,GRAIN
red-156,red,156,RED
root-670,root,670,ROOT
run-1519,to run,1519,RUN
salt-1274,salt,1274,SALT
sand-671,sand,671,SAND
say-1458,to say,1458,SAY
see-1409,to see,1409,SEE
sit-1416,to sit,1416,SIT
skin-763,skin/hide,763,SKIN
sleep-1585,to sleep,1585,SLEEP
small-1246,small,1246,SMALL
smoke-778,smoke,778,SMOKE
stand-1442,stand,1442,STAND
star-1430,star,1430,STAR
stoneorrock-2125,stone/rock,2125,STONE OR ROCK
sun-1343,sun,1343,SUN
sweet-717,sweet,717,SWEET
tail-1220,tail,1220,TAIL
take-1749,to take,1749,TAKE
thick-1244,thick,1244,THICK
this-1214,this,1214,THIS
tongue-1205,tongue,1205,TONGUE
tooth-1380,tooth,1380,TOOTH
water-948,water,948,WATER
what-1236,what?,1236,WHAT
white-1335,white,1335,WHITE
who-1235,who?,1235,WHO
wind-960,wind,960,WIND
wing-1257,wing,1257,WING
woman-962,woman,962,WOMAN
wood-1803,wood,1803,WOOD
yesterday-1174,yesterday,1174,YESTERDAY
