ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
Duhumbi-Lieberherr-2017-100-1-1,,Duhumbi,Lieberherr-2017-100-1,ga,ga,g a,,Lieberherr2017,101,
Duhumbi-Lieberherr-2017-100-2-1,,Duhumbi,Lieberherr-2017-100-2,naŋ,naŋ,n a ŋ,,Lieberherr2017,301,
Duhumbi-Lieberherr-2017-100-3-1,,Duhumbi,Lieberherr-2017-100-3,wɔj,wɔj,w ɔ j,,Lieberherr2017,501,
Duhumbi-Lieberherr-2017-100-4-1,,Duhumbi,Lieberherr-2017-100-4,kʰin-ʨʰɔk,kʰin-ʨʰɔk,kʰ i n + tɕʰ ɔ k,,Lieberherr2017,701,
Duhumbi-Lieberherr-2017-100-5-1,,Duhumbi,Lieberherr-2017-100-5,hut,hut,h u t,,Lieberherr2017,901,
Duhumbi-Lieberherr-2017-100-6-1,,Duhumbi,Lieberherr-2017-100-6,ʨʰu-pʰak,ʨʰu-pʰak,tɕʰ u + pʰ a k,,Lieberherr2017,1101,
Duhumbi-Lieberherr-2017-100-7-1,,Duhumbi,Lieberherr-2017-100-7,ɔ-dɔk,ɔ-dɔk,ɔ + d ɔ k,,Lieberherr2017,1301,
Duhumbi-Lieberherr-2017-100-8-1,,Duhumbi,Lieberherr-2017-100-8,hwa,hwa,w̥ a,,Lieberherr2017,1501,
Duhumbi-Lieberherr-2017-100-9-1,,Duhumbi,Lieberherr-2017-100-9,zɛk,zɛk,z ɛ k,,Lieberherr2017,1701,
Duhumbi-Lieberherr-2017-100-10-1,,Duhumbi,Lieberherr-2017-100-10,ʨʰak-ba,ʨʰak-ba,tɕʰ a k + b a,,Lieberherr2017,1901,
Duhumbi-Lieberherr-2017-100-11-1,,Duhumbi,Lieberherr-2017-100-11,u-ʨʰam,u-ʨʰam,u + tɕʰ a m,,Lieberherr2017,2101,
Duhumbi-Lieberherr-2017-100-12-1,,Duhumbi,Lieberherr-2017-100-12,hɔj,hɔj,h ɔ j,,Lieberherr2017,2301,
Duhumbi-Lieberherr-2017-100-13-1,,Duhumbi,Lieberherr-2017-100-13,ɕa-kʰus,ɕa-kʰus,ɕ a + kʰ u s,,Lieberherr2017,2501,
Duhumbi-Lieberherr-2017-100-14-1,,Duhumbi,Lieberherr-2017-100-14,nu,nu,n u,,Lieberherr2017,2701,
Duhumbi-Lieberherr-2017-100-15-1,,Duhumbi,Lieberherr-2017-100-15,haj,haj,h a j,,Lieberherr2017,2901,
Duhumbi-Lieberherr-2017-100-16-1,,Duhumbi,Lieberherr-2017-100-16,bu,bu,b u,,Lieberherr2017,3101,
Duhumbi-Lieberherr-2017-100-17-1,,Duhumbi,Lieberherr-2017-100-17,mukpa,mukpa,m u k p a,,Lieberherr2017,3301,
Duhumbi-Lieberherr-2017-100-18-1,,Duhumbi,Lieberherr-2017-100-18,kʰip,kʰip,kʰ i p,,Lieberherr2017,3501,
Duhumbi-Lieberherr-2017-100-19-1,,Duhumbi,Lieberherr-2017-100-19,i,i,i,,Lieberherr2017,3701,
Duhumbi-Lieberherr-2017-100-20-1,,Duhumbi,Lieberherr-2017-100-20,le,le,l e,,Lieberherr2017,3901,
Duhumbi-Lieberherr-2017-100-21-1,,Duhumbi,Lieberherr-2017-100-21,wa-tʰi,wa-tʰi,w a + tʰ i,,Lieberherr2017,4101,
Duhumbi-Lieberherr-2017-100-22-1,,Duhumbi,Lieberherr-2017-100-22,ɲiŋ,ɲiŋ,ɲ i ŋ,,Lieberherr2017,4301,
Duhumbi-Lieberherr-2017-100-23-1,,Duhumbi,Lieberherr-2017-100-23,wa-ar,wa-ar,w a + a r,,Lieberherr2017,4501,
Duhumbi-Lieberherr-2017-100-24-1,,Duhumbi,Lieberherr-2017-100-24,kʰu-tʰuŋ,kʰu-tʰuŋ,kʰ u + tʰ u ŋ,,Lieberherr2017,4701,
Duhumbi-Lieberherr-2017-100-25-1,,Duhumbi,Lieberherr-2017-100-25,ʨʰa,ʨʰa,tɕʰ a,,Lieberherr2017,4901,
Duhumbi-Lieberherr-2017-100-26-1,,Duhumbi,Lieberherr-2017-100-26,hɔj-ʥɔŋ,hɔj-ʥɔŋ,h ɔ j + dʑ ɔ ŋ,,Lieberherr2017,5101,
Duhumbi-Lieberherr-2017-100-27-1,,Duhumbi,Lieberherr-2017-100-27,kʰu-m,kʰu-m,kʰ u + m,,Lieberherr2017,5303,
Duhumbi-Lieberherr-2017-100-28-1,,Duhumbi,Lieberherr-2017-100-28,tʰa-u-ɹiŋ,tʰa-u-ɹiŋ,tʰ a + u + ɹ i ŋ,,Lieberherr2017,5501,
Duhumbi-Lieberherr-2017-100-29-1,,Duhumbi,Lieberherr-2017-100-29,ɔ-jɔw,ɔ-jɔw,ɔ + j ɔ w,,Lieberherr2017,5701,
Duhumbi-Lieberherr-2017-100-30-1,,Duhumbi,Lieberherr-2017-100-30,hut-ʦun,hut-ʦun,h u t + ts u n,,Lieberherr2017,5901,
Duhumbi-Lieberherr-2017-100-31-1,,Duhumbi,Lieberherr-2017-100-31,bɛj,bɛj,b ɛ j,,Lieberherr2017,6101,
Duhumbi-Lieberherr-2017-100-32-1,,Duhumbi,Lieberherr-2017-100-32,ŋa,ŋa,ŋ a,,Lieberherr2017,6301,
Duhumbi-Lieberherr-2017-100-33-1,,Duhumbi,Lieberherr-2017-100-33,ɕa,ɕa,ɕ a,,Lieberherr2017,6501,
Duhumbi-Lieberherr-2017-100-34-1,,Duhumbi,Lieberherr-2017-100-34,ɕɛɹ,ɕɛɹ,ɕ ɛ ɹ,,Lieberherr2017,6701,
Duhumbi-Lieberherr-2017-100-35-1,,Duhumbi,Lieberherr-2017-100-35,pɕiŋ-ba,pɕiŋ-ba,p ɕ i ŋ + b a,,Lieberherr2017,6901,
Duhumbi-Lieberherr-2017-100-36-1,,Duhumbi,Lieberherr-2017-100-36,ɕi,ɕi,ɕ i,,Lieberherr2017,7101,
Duhumbi-Lieberherr-2017-100-37-1,,Duhumbi,Lieberherr-2017-100-37,wa,wa,w a,,Lieberherr2017,7301,
Duhumbi-Lieberherr-2017-100-38-1,,Duhumbi,Lieberherr-2017-100-38,ɔ-ʥɔp,ɔ-ʥɔp,ɔ + dʑ ɔ p,,Lieberherr2017,7501,
