X	Gloss	Duhumbi	Khispi	Rupa	Shergaon	Rahung	Khoitam	Jerigaon	Khoina	Dikhyang	Singchung	Wangho	Bichom	Kaspi	Namphri	Bulu	Kojo Rojo	Rawa	Saria	Chayangtajo	Lasumpatte	ZMYYC	Li Daqin		ʦB	WB	WT	PT	PBG	PH	PKC
45	1SG	ga 	ga 	gu	gu	gu	gu	gu	gu	koː	go	ko	go ~ gu	gu	go	gu	go	go	go	go	go	goh⁵³	goh⁵⁵		ʥaŋ 	ŋà/kò	ṅa	*ŋoː	*aŋ¹	*na(-jaŋ)	*kay ⪤ kay-maʔ
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	2	2	2	2	2	1
100	2SG	naŋ 	naŋ 	naŋ 	naŋ 	naŋ 	naŋ 	naŋ 	naŋ 	nɔ̃	no	no	no	no	no	naː	naŋ	na	na	na	na	nah⁵³	na⁵⁵		nan	ɲí, nì̃, nḭ̃	khyed	noː	*na²/*naŋ²	*ni	*naŋ
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	2	3	1	1	2	1
38	3SG	wɔj 	wuj 	wa 	wa 	hɛ ~ ʔɛ 	wa-ʥi	wa 	laŋ-wa 	ʔoɛ	oe	we	uwe	tʰe	oe	vɛː	wai	hoː	waː	wɛː	wɛː	væ³³	vaʳ⁵⁵		dan/rɔk 	θù	kho/mo	NA	*u¹-/*Bi¹	*ʔi	NA
L	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	1		4	2	5		6	7	
1	ant	kʰin- ʨʰɔk̚ 	kʰe- ʨʰɔk̚	san-gjuk ~ san-ʥɔk	san-ʥɔk	saŋ-ʥɔk	saŋ-ʥɔk	san-ʥɔk	ʂan-ʥɔk	ɕiɲiŋ	ʃiŋiŋ	ʃiŋiŋ	siiŋ	ʃiŋiŋ	ʃiŋiŋ	ʤamʤuʔ	gamgɹu	gaməgɹoː	gɹɛŋgɹo	gɹɛŋgɹo	gɹɛŋgɹo	gɹɛn³³gɹo⁵³	gran³¹koʳ⁵³		kʰaŋʥila 	pəyweʔ sʰeiʔ	grog-ma	*ruk ~ rup	NA	*si-ni	NA
L	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1		3	4	1	1		2	
2	arm/hand	hut̚	hut̚	ʔik	ʔik	ʔik	ʔik	ʔik	ʔik	wat	wat	wat	wat	wat	wat	geʔ	geiʔ	get	geiʔ	geiʔ	geiʔ	geʈ³³	giᵗ⁵⁵		gadaŋ	leʔ	lag-pa	*lak	*yak	*mə-guC	*kut ⪤ khut
LS	cognacy	1	1	2	2	2	2	2	2	3	3	3	3	3	3	4	4	4	4	4	4	4	4		5	6	6	6	6	7	7
3	ash	ʨʰu-pʰak̚ ~ ʨʰu-bak̚	ʨʰu-pʰa	ʨʰa-pʰluː	ʨʰa-pʰuː	ʨʰa-pʰruː ~ ʨʰa-pʰluː	ʨʰa-pʰluː	ʨʰa-pʰluː ~ ʨʰa-fluː	ʥɐ-pʰluː	səpʰiə	spije	spije	spije	spije	spije	pʰa-rəp	bə-rəm	bai-rəp	bai-rəʔ	bɛɛ-rak	bɛɛ-rak	bæ³³ɣək³³	bæ³³ɣəh⁵³		tʰulu	pyà	thal-ba	NA	*thap⁴-la	NA	*wut
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	3		4	2	4		4		5
5	big	ʔɔ-dɔk̚	ʔɔ-dɔk̚	ʔa-dɔk 	ʔa-dɔk 	ʔa-dɔk 	ʔa-dɔk 	ʔa-dɔk 	ʔa-dɔk 	əpõː	eboᵘ	eboᵘ	boᵘ	boᵘ	boᵘ	araː	arai	arai	toʔrɨɨ	kəlaː	kəlaː	a³³bua³³	a³¹bua⁵⁵		kataŋ 	ʧí (kji:)	čhen-po	*tə~ta	-ma⁰	*mə-doʔ	*lian-II, lianʔ-II
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	1	4	4	2	2		5	6	7	1	8	1	9
6	bird	hwa	hwa	hu	hu	hu	hu	hu	fu 	fuə	fua	fua	fua	fo	fua	pəduː	pədoː	pədoː	pədoː	pədou	pədou	pə³³tu³³	pɯ³¹tu⁵⁵		kʰa 	ŋ̊eʔ	bya	*taŋ	*tao²	*bə-dow	*waa
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2		3	4	5	6	2	2	1
7	bite	zjɛk̚	zɛk	zɛk	zɛk	zɛk	zɛk	zɛk		kʰrik	tʰokmage	kʰrik ~ nik	tʰokpʰa	ʧipʰa	tʰokpʰa	tɔʔ	tua	tua	tua	tua	tua	tua⁵³	tua⁵⁵		ŋam 	kaiʔ	so rgyag-pa	*gam (~ gjam?)	*cik	*taʔ	*pet-I, peʔ-II, *kray, *seʔ, *tewʔ, *ʦuu-I, ʦuk-II
LS	cognacy	1	1	1	1	1	1	1		2	3	2	3	4	3	3	3	3	3	3	3	3	3		5	6	7	5	2	3	3
8	bitter	ʨʰak̚ba	ʨʰak̚ba	kʰjɔk ~ ʨʰɐk 	ʔa-ʨʰak 	ʨʰak	ʨʰak	ʨʰak	ʔa-ʨʰak 	ʔəkʰoː	kʰoᵘ	ekʰoᵘ	kʰoᵘ	kʰoᵘ	ekʰoᵘ	aʧaʔ	aʧuaʔ	aʧaː	akjaː	aʧaː	aʧjaː	a³³bio⁵³	a³¹ʥiu⁵³		kʰakpu	kʰá	kha-ba	*ko ~ kaː	*kha²	*kam	*khaa-I, khaat ⪤ khaak-II
L	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	3	1		2	2	2	2	2	2	2
9	black	ʔu-ʨʰam 	ʔu-ʨʰam 	ʔa-kʰjɔ̃ː ~ ʔa-ʨʰũː 	ʔa-ʨʰɔ̃ː 	ʔa-ʨʰũː 	ʔa-ʨʰũː 	ʔa-ʨʰɔ̃ː ~ ʔa-ʨʰũː	ʔa-ʈ͡ʂʰũː 	əsai	esaⁱ	esaⁱ	esaⁱ/soⁱ	soⁱ	esui	ahjɛN	ahjeĩ	ahjɛĩ	ahɛ̃	ahjɛN	ahjɛN	a³³ɦiɛ⁵³	a³³ɦam⁵⁵		ʨʰaŋlu	neʔ	nag-po	NA	*Gɯ⁰-Sɯm⁴	NA	*nak, *wom, *ɗum
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	3	3	3	3	3	3	3	3		1	4	4		2		4
10	blood	hɔj	hɔj	haː 	haː 	hɛː	hɛː	hɛː	xaː 	əfuɛ	efua	efua	efua	nəfaⁱ 	məfaⁱ	ahui	afui	fui	hue	hue	hue	hue⁵³	hui⁵³		ji ~ ʑi 	θwéi	khrag	*viː	*thɯi²	*jaC	*thii
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	2	1	1	3	1
12	bone	ɕa-kʰus 	ɕa-kʰus 	s-kik 	s-kit 	s-kik	sə-kik ~ s-kik 	ʔi-hik 	ʔa-xyk 	əsɛŋ ~ əzɛŋ	ezeŋ	ezak	ezeŋ	nizeŋ	ezeŋ	azɛN	aʒan	azaʔ	azaiʔ	azaiʔ	aʤaiʔ	NA	a³¹zai⁵⁵		kʰaŋ 	əyó	rus pa	*loŋ	*kreŋ³	*mə-ri-jaŋ	*ruʔ
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2		2		3	5	4	5	6	7	7
13	breast	ɲu ~ nu 	ɲu	ɲyŋ	ɲuŋ	nyŋ	nyŋ	nyŋ	nyŋ	ɲeoː ~ neoː	ɲeoː	ɲeoː	niw	dut	niw	anjɛː	anjei	njɛi	ɲɛː	anjɛː	anjɛː	a³³ niɛ¹¹	a³³niɛ¹¹		nu 	no̰	nu-ma	NA	*shok	*mə-nuŋ	*hnooy
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1		1	1	1		2	1	1
14	to burn (it.)	haj	haj	haː	haː	hɛː	hɛː	hɛː ~ hũŋ 	haː	hõːe	ʃuⁱt	haᵘ	fũppʰa 	ʤijopʰa	fupʰa 	ham	ʤəu	ʤəu	ʤɨː	jɨː	ʤɨː	NA	ɕi⁵⁵		diɾ 	laʊ̀̃ (laun)	ḥbar	*gu	*kham¹	NA	*haal, *kaaŋ-I, kaŋʔ ⪤ kan-II
