X	Gloss	Duhumbi	Khispi	Rupa	Shergaon	Rahung	Khoitam	Jerigaon	Khoina	Dikhyang	Singchung	Wangho	Bichom	Kaspi	Namphri	Bulu	Kojo Rojo	Rawa	Saria	Chayangtajo	Lasumpatte	ZMYYC	Li Daqin		ʦB	WB	WT	PT	PBG	PH	PKC
LS	cognacy	1	1	1	1	1	1	1	1	1	2	1	3	4	3	5	4	4	4	4	4		6		7	8	9	10	5		1
15	to carry (on back)	bu	bu	byː	byː	byː	byː	byː	byː	hán	NA	NA	NA	NA	NA	ʒeN	ɹan	bəu	eiʔ	eiʔ	ek	ɣəȶ³³	NA		baŋ 	pó (pou:)	ḥkhur	*bak	*ba²	NA	*phur ⪤ phor, *pua-I, puak-II
L	cognacy	1	1	1	1	1	1	1	1	2						3	4	1	5	5	5	5			6	8	7	6	6		9
72	cloud	mukpa	tɔŋ-ti ~ tɔŋ-tej 	ʦə-ty ~ s-ty 	sin-ti ~ sin-ty 	syn-ty	syŋ-ty 	s-ty 	ɕ-tỹ 	səkʰamau	skəmoᵘ	skəmoᵘ	ʧakamaŋ, sěkmoᵘ	ʧakamaŋ	ʧakamaŋ	sətɨː	kadəusə	toŋsəu	katɨːsɨː	katəː	katəː	kə³³tɯ³³	kə³¹tɯ⁵⁵		mukpa	tèĩ	smug pa 	*mək ~ muk	NA	*majməwŋ	*may
S	cognacy	1	2	2	2	2	2	2	2	3	3	3	4	4	4	2	2	5	2	2	2	2	2		1	1	1	1		4	6
19	to cry/weep	kʰip	kʰip	kʰe	tʰe	ʨʰe	ʨʰe	ʨʰe	ʈ͡ʂʰe	ʨʰõ	ʧomage	ʧo	ʧoapʰa	ʧoapʰa	ʧo	ʧɛʔ	ʧap	ʧap	kjaʔ	ʧap	ʧjap	ciak⁵³	ciaᵏ⁵³		gɛp 	ŋò	ṅu-ba	*krap	*Grap	*kraC	*krap-I, kraʔ-II 
L	cognacy	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	2	3	1	1	1	1
18	to die	ʔi	ʔi	ʔiː 	ʔiː 	ʔiː 	ʔiː 	ʔiː 	ʔiː 	ʔiː 	ida	iⁱ	ipʰa	idən	idun	iː	iː	iː	iː	iː	iː	ji³³	ji⁵⁵		ɕi 	θèi	śi	*si	*thɯi¹	*θəj	*thii-I, thiʔ-II
S	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1
20	to do/make	le	li	ra	ra	rɛ ~ ra	 rɛ	ra	ra	rjɛt	retmage	ret	reʔpʰa	reⁱpʰa	 ɾappʰa	ʦaʔ	ʒou	kat	kaiʔ	kaiʔ	kaiʔ	kaʈ³³	kaᵗ⁵⁵		ʔa	ʧé (kje:)	byed-pa	*rjɯ	*tak	*ru	*tuaʔ
L	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	4	4	4	4		5	6	7	4	8	1	8
21	dog	wa-tʰi 	wa-tʰi 	bə-tʰaː 	pʰ-tʰaː 	pʰ-tʰɛː 	pʰ-tʰɛː 	pʰ-tʰɛː 	bə-tʰaː 	ʨɔi	ʧi	ʧaⁱ	ʧoⁱ	ʧoⁱ	ʧoⁱ	buː	buː	boː	boː	kajoː	kajoː	boh⁵³	boh⁵³		kʰu	kw̥éi (khwei:)	khyi	*kwiː	NA	NA	*ʔuy
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	2	2		4	4	4	4			5
22	drink	ɲiŋ ~ ɲuŋ	ɲiŋ ~ ɲuŋ 	liŋ	ʔiŋ	liŋ	liŋ	liŋ	lyŋ	naŋ	kʰoŋaŋ	naŋ	naŋpʰa	naŋpʰa	naŋ	in	in	in	riŋ	riŋ	riŋ	rin³³	ɣliŋ⁵⁵		ʥam	θaʊʔ	ḥthuṅ	*tɯŋ	*lɯŋ¹	*tuŋ	*hroop, *ɗoon
LS	cognacy	1	1	2	2	2	2	2	2	3	3	3	3	3	3	2	2	2	2	2	2	2	2		4	5	5	5	2	5	6
89	dry	waʔar	ʔɔwal 	ʔɔʔɔ̃ː 	ʔɔʔɔ̃ː 	ʔɔʔɔ̃ː 	ʔyk̚ʔãː 	ʔyk̚ʔãː 	ʔɔʔɔ̃ː 	əkou ~ əkau	egaᵘ	ekaᵘ	egaᵘ	goᵘ	nəgou	awɛN	awan	awan	awaiʔ	awaiʔ	awaiʔ	a³³vəʴʈ³³	a³¹vaʳᵗ⁵⁵		saŋbu 	θwḛi, yáʊ̃	skam-po	*san	*ran²	mə-ki-laŋ	*raw, *ʦaar
S	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1		3	4	5	3	6	7	6
23	ear	kʰu-tʰuŋ	kʰu-tʰuŋ	gə-tʰyŋ 	kʰə-tʰuŋ-lap 	kʰ-tʰyŋ 	kʰ-tʰyŋ 	kʰ-tʰyŋ-lɛ 	ga-tʰyŋ 	kʰɔ̃	kʰõ	kʰõ	kʰõ	kʰõ	kʰõ	akuiN	akun	kot	kuiʔ	(a)kuiʔ	(a)kuiʔ	a³³kuʈ³³	mɯ³¹kui⁵³		na 	ná	rna	*ña-ruŋ	*na[¹]-cur	NA	*naa ⪤ hnaa 
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2		3	3	3	3	3		3
24	eat	ʨʰa	ʨʰa	ʦʰu 	ʨʰu	ʨʰu	ʨʰu	ʨʰu	ʦʰu 	ʦiə	ʧəmut	ʧəmut	ʧəmut	ʧəmut	ʧəmut	ʧiː	ʧiː	ʧiː	ʧiː	ʧiː	ʧiː	ʨih⁵³	ʨih⁵³		za 	sá	bzaḥ-ba	*do	*ca²	*ʨa	*ʔay
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2		3	3	3	4	1	1	5
25	egg	hɔj-ʥɔŋ 	ʔɔ-gɔŋ 	ʔa-juŋ	kʰlɔm	ʔa-juŋ	ʔa-juŋ	ʔa-juŋ	ʔa-juŋ	əriː	kʰere	kʰere	eri	kʰere	kʰere	awuN	aliː	tju-li	məriː	məriː	məriː	mə³³ri³³	mɯ³¹ɬi⁵⁵		goitʰam	ṵ	sgo-ṅa	*pɯ	*pi¹-tɯi²	*do-riŋ	*ɗu(u)y ⪤ tu(u)y
LS	cognacy	1	2	3	4	3	3	3	3	5	5	5	5	5	5	3	5	5	5	5	5	5	5		6	7	2	8	9	5	9
26	eye	kʰu-m 	kʰu-mɔː	kʰa-by ~ kʰə-by	kʰi-biː 	kʰam-by ~ kʰa-by	kʰa-by	kʰa-by 	ga-by 	miɛk ~ mjɛk	mijak	mijak	mijak	mije	mijak	akəm	akəm	kəp	kəʔ	(a)kək	(a)kək	kək³³	a³¹gɯᵏ⁵⁵		miŋ 	seʔ kʰṵ ([Pali စက္ခု])	mig	*mik	*mɯk-kon	*mə-jaʔ	*mik
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1		2	1	2	2	2	2	2
28	far	tʰaːuɹiŋ	tʰaːuliŋ	ʔa-ʨʰɔ̃ː 	ʔa-ʨʰɔ̃ː 	ʔa-ʨʰɔ̃ː 	ʔa-ʨʰɔ̃ː 	ʔa-ʨʰãː 	ʔa-ʨʰɔ̃ː 	rɛʔɛ ruaŋ	rᵘaŋ	ruwaŋ	rᵘaŋ	rᵘaŋ	rᵘaŋ	aʧoi	aʧai	aʧai	kjeː	aʧjeː	aʧjeː	a³³ciɛ³³	a³¹cie⁵⁵		tʰaɾiŋbu	wéi	thag riṅ-po	*do	*jal²/cal²	*mə-rəŋ	*hlaa-I, hlaat-II
L	cognacy	1	1	2	2	2	2	2	2	1	1	1	1	1	1	2	2	2	2	2	2	2	2		1	3	1	4	2	1	5
4	fat	ʔɔ-jɔw 	ʔɔ-ju ~ u-ju 	ʔa-jɔː ~ ʔa-jɔw 	ʔa-jɔː	ʔa-jɔw 	ʔa-jɔː ~ ʔa-jɔw 	ʔa-jɔː	ʔa-jɔː 	əjou	eju	eju	eju	ejo	ejo	aʒɔː	azjaː	azjaː	azua	azua	aʤua	a³³ʑua¹¹	mɯ³¹ʑua⁵⁵		jan	əsʰì	ʦhil	*fu	*mV⁴-tVm	*mə-baC	*thaaw
S	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	3	3	4	5	6	7
11	fingernail	hut-ʦun ~ hut-ʦum 	hut-ʨʰin ~ hut-ʦin	ʔikʦiŋ ~ ʔikʦĩŋ	ʔik’kjiŋ ~ ʔik̚ʨiŋ 	ʔik̚-ʨiŋ 	ʔik̚-ʦiŋ 	ʔik̚-ʨʰiŋ	ʔik̚-ʦiŋ	bəsɛn	bəsen	pəʧijat	bəsen	pə̌sen	pəʃen	ageʔ gəsɨn	geiʃin	gəsin	geisiŋ	geisiʔ	geisiʔ	geʈ³³ɕit³³	giᵗ³³ɕiᵗ⁵³		ʦinaŋ 	leʔ θé	sen-mo	*lak-zin	*yak-si-kur	NA	*tin
S	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1		1
29	fire	bɛj 	bej 	ba 	ba 	bɛ 	bɛ 	bɛ 	ba 	boːɛ	boᵉ	boᵉ	boᵉ	baⁱ	boᵉ	bɛː	bai	bai	bɛː	bae	bɛː	bæ³³	bæ⁵⁵		mi 	mí	me	*mə	*bwar²	*maj	*may
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	2	1	1
30	fish	ŋa	ŋa	ɲu ~ ɲuŋ 	ɲu	nu ~ nuŋ 	nu ~ nuŋ 	nu	nu	ũə	ūa	ūa	uŋa	ūa	uŋə̄	ʧui	ʧui	ʧuei	ɲoː	kahuaŋ	kahuaŋ	ka³³fuaŋ⁵³	ka³³fuaŋ⁵³		ŋa 	ŋá	ña	*ŋo	*na²	trV	*ŋaa ⪤ hŋaa
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	3	3	3	3		1	1	1	1	1	2	1
31	flesh/meat	ɕa	ɕa	su	su	su	su	su	ʂu	eːɕau ~ əɕau	epije	epije	ebije	məbi	ebei	ʃiː	mai	mai	məreʔ	mərjeʔ	mərjeʔ	mə³³ri³³	mɯ³¹ɬiᵏ⁵⁵		ɕa	əθá	śa	*dɯn	NA	*su	*shaa
LS	cognacy	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	3	3	4	4	4	4	4		1	1	1	5		1	1
32	to fly	ɕɛɹ	ɕɛl	ʦʰan ~ ʨʰan	ʨʰan	ʨʰɛm 	ʨʰan	ʨʰɛn	ʦʰɛn 	məʦo	kʰemage 	kʰeⁱ 	kʰeⁱ 	kʰeŋpʰa	kʰeⁱpʰa	kiː	kɹei	kei	piʔ	pjeʔ	pjiʔ	pie³³	pie⁵⁵		pʰɛn	pyà̃ (pjan)	ḥphur-ba 	*bjar	*pir¹	NA	NA
LS	cognacy	1	1	1	1	1	1	1	1	2	3	3	3	3	3	3	3	3	4	4	4	4	4		5	4	6	1	4		
95	full	pɕiŋ-ba	pɕiŋ-ba ~ ɕiŋ-ba 	pʰiŋ-ba 	pʰiŋ-ba 	ʔa-pʰiŋ 	ʔa-pʰiŋ 	ʔa-pʰiŋ 	ʔa-pʰiŋ 	əlijeː	lija	elija	leⁱ	leⁱ	eleⁱ	ljɛː	jei	ljɛi	lɛː	ljɛː	ljɛː	liɛ³³	lian³³		pʰuŋma 	pʰyó	gaṅ-ba 	*brɯŋ	*pʰuŋ¹	*liŋ	*kim, *pliŋ, *ɗim
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2		3	3	4	3	3	3	3
33	to give	ɕi	ɕi	ʨʰi ~ ʣi 	kʰji	ʨʰi	ʨʰi	ʨʰi	ʦʰi 	pʰy ~ pʰi	pʰimage	pʰi	pʰipʰa	pʰipʰa	pʰi	taN	taŋ	taʔ	taŋ	taŋ	taŋ	taŋ³³	taŋ⁵⁵		bi	ká̃	sbyin-pa 	*bi	*ron²	*bəj	*pia-I, piak-II
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2		1	3	1	1	4	1	1
34	to go	wa	wa	rɔ	ro	rɔ	rɔ	rɔ	rɔ	wuə	lua	vəwa	tʰevəə	dun	vəopʰa	vuː	wuː	woː	uː	uː	uː	u³³	wu⁵⁵		di	tó	ḥgro	*in	NA	NA	*kal, *θeʔ
L	cognacy	1	1	2	2	2	2	2	2	1	3	1	1	4	1	1	1	1	1	1	1	1	1		5	2	2	6			7
35	good	ʔɔ-ʥɔp̚ 	nakpa ~ nakma 	ʔa-gjap ~ ʔa-ʥap 	ʔa-ʥap	ʔa-ʥap 	ʔa-ʥap 	ʔa-ʥɛ 	ʔa-d͡ʐa 	əviə	avije	avije	avije	avije	avije	amjɛː	anjam	anjam	ajɨː	anjaŋ	anjaŋ	a³³niaŋ¹¹	a³¹ɲiaŋ⁵⁵		lɛkpu	káʊ̃	legs-po	*-pro?	*nam¹	NA	*phraa-I, phrat-II
LS	cognacy	1	2	1	1	1	1	1	1	3	3	3	3	3	3	4	5	5	6	5	5	5	5		7	8	7	9	2		9
36	hair on head	kʰu-ɕaŋ ~ kʰu-zjaŋ 	kʰu-ɕaŋ 	gə-zaŋ	gə-zaŋ	gə-zaŋ	gə-zaŋ	gə-zaŋ	gə-ʐaŋ 	kʰazijɔŋ	kʰazijaŋ	kʰazijaᵘ	kʰazijaŋ	kʰazijaŋ	kʰazijaŋ	kə-zaN	kə-zjaŋ	kə-zjaʔ	kə-zaʔ	kə-zak	kəʤaʔ	kə³³ʑak³³	kau³¹ʑiaᵏ⁵⁵		ʦʰam 	sʰà̃	skra	NA	*khi³-ni	*go-pu	*sham
LS	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	2	3		4	5	2
37	hard	kaktar	kaktal 	ʔa-ʦu ~ ʔa-ʨu	ʔa-ʨu	ʔa-ʨu	ʔa-ʨu	ʔa-ʨu	ʔa-xɔ̃ŋ ~ ʔa-xãŋ	əkɔŋ	NA	NA	NA	NA	NA	aʃɔN	ahɹan	NA	gaː	akaː	akaː	a³³siet³³	a³¹ga⁵⁵		kaktaɾ	mà	khag-po	NA	*rak	*mə-gaŋ-lo	*ʦaar, *θaak
L	cognacy	1	1	2	2	2	2	2	3	3						4	5		6	6	6	7	6		1	8	1		9	6	10
87	head	kʰɔ-lɔk̚ 	kʰɔ-lɔk̚ 	kʰ-ruk̚ 	kʰ-ruk̚ 	kʰ-ruk̚	kʰ-ruk̚	kʰ-ruk̚	mətʰɛ̃n	kʰruk	kʰɾuk	kijatuŋ	kʰɾuk	kʰɾuk	kʰɾuk	akuŋ	akuŋbəː	koʔ-bəu	akoʔ	akok	akok	ko⁵³	a³¹kau⁵³		ɕaɾaŋ	gáʊ̃ (gaun:)	mgo	*dum	*kho⁴-rok	*mə-go-kuŋ	*luu
S	cognacy	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	1	1	1	1	1	1	1		4	5	5	6	1	5	7
39	to hear 	ʥas	kʰa la	jɔ	jo	jɔ̃	jɔ̃	jɔ̃	jɔ̃	jɔi	nuvamage	nūa 	joⁱpʰa	nuapʰa	joⁱ	nɨŋ	nuŋ	noŋ	roŋ	roŋ	roŋ	ɣɔŋ (!)	ɣaŋ⁵⁵		na tʰa 	ʤá (kja:)	thos-pa/sñan-pa	*tat²	*khɯ¹-na	NA	*thay-I, thayʔ-II
LS	cognacy	1	2	3	3	3	3	3	3	3	4	4	3	4	3	4	4	4	4	4	4	4	4		5	1	6	7	8		7
40	heavy	u-li 	u-li 	ʔa-liː 	ʔa-liː 	ʔa-liː 	ʔa-liː 	ʔa-liː 	ʔa-liː 	ə-lai	laⁱ	elaⁱ	laⁱ	laⁱ	elaⁱ	a-lɨː	a-lei	a-lei	a-lei	a-lei	a-lei	a³³lei³³	a³¹lei⁵⁵		ʨitpu	léi	lǰid-po	*ɦit	NA	*mə-ləj	*rik-I, riʔ-II
L	cognacy	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		2	1	2	3		1	4
41	to hide	uk	uk	uk	uk	uk	uk	uk	uk	uk	NA	NA	NA	NA	NA	uʔ	ɨʔ	əə	rjaŋ-əː	rou-gəə	rou-gəə	ɣɯ³³ɣə⁵³	ʣa³³ɣə⁵³doŋ⁵⁵ɣə⁵³		gum 	póʊ̃, kwè	bskuṅs-ba	NA	NA	NA	*thup
L	cognacy	1	1	1	1	1	1	1	1	1						1	1	1	1	2	2	2	2		3	4	3				5
42	to kill	ʔat 	ʔat 	ʔɔ	ʔo	ʔɔ	ʔɔ	ʔɔ	ʔɔ	uːə	wamage	ua	uapʰa	uapʰa	ua	wɛʔ	aiʔ	at	aiʔ	aiʔ	aiʔ	waʴt³³	waʳᵗ⁵⁵		ɕe	θaʔ	bsad-pa	*man	NA	*gajC	*that-I, -thaʔ-II
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2		1	1	1	3		4	1
43	horn	kʰjaŋ 	kʰɛŋ 	kʰɛŋ 	kʰɛŋ 	ʨʰɛŋ	ʨʰɛŋ	ʨʰɛŋ	ʈ͡ʂʰajŋ	əriɔŋ	erijaŋ	erijok	erijaŋ	erijaŋ	erijaŋ	akjɛN	akɹan	akɹɛt	akuaŋ	kowaŋ	kowaŋ	a³³kəvuaŋ³³	a³¹vaŋ⁵³		waɾɔŋ 	ʤò (gjou)	rwa	*rəŋ	*kroŋ¹	*mə-su	*kii
LS	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	3	3	3	3	3		2	1	2	2	1	4	5
44	house	wam 	wam 	jam	jam	jam	jam	jan ~ jɛn	jan 	hõ	hõ	hõ	hõ	hõ	hõ	ham	ham	ham	haʔ	ʧuʔ	ʧuʔ	ʨok³³	ʨauᵏ⁵³		pʰai	èĩ (ein)	khyim	WT *nam	*nok	*nam	*ʔim
L	cognacy	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	3	3	3	3		4	5	6	7	8	7	6
46	in	naŋ 	naŋ 	ʔa-lyŋ 	ʔa-luŋ 	ʔa-lyŋ 	ʔa-lyŋ 	ʔa-lyŋ 	ʔa-lyŋ 	pʨʰau	NA	NA	NA	NA	NA	alɨŋ	aloŋ	NA	araŋ	aɹaŋ	aŋɹaŋ	a³³ɹaŋ⁵³	a³¹raŋ⁵³		naŋka	ətwí̃ (atwin:)	naŋla	NA	*niŋ²/*nuŋ²	NA	*ʦhuŋ
L	cognacy	1	1	2	2	2	2	2	2	3						2	2		4	4	4	4	4		1	5	1		2		6
